

Singapore,11

Start,60
England,34
Iraq,42
Waterways,1981043047
UNO4,88
France,37
Iran,44
Satellite,50463534
Egypt,34
Resort,58
Canada,42
Germany,33
Airways,50463522
Customs Duty,74
Switzerland,51
Brazil,34
Chance16,96
Italy,25
Party House,85
Japan,44
USA,29
Travelling Duty,50
Roadways,10420325
Mexico,46
Hong Kong,37
UNO25,86
Australia,35
Jail,78
India,44
Chance29,36
Saudi Arabia,40
Petroleum,49
China,51
Railways,32
Malaysia,47
Singapore,28

Start,30
England,24
Iraq,44
Waterways,23
UNO4,40
France,23
Iran,41
Satellite,35
Egypt,18
Resort,42
Canada,50
Germany,47
Airways,16
Customs Duty,20
Switzerland,38
Brazil,36
Chance16,54
Italy,12
Party House,99
Japan,46
USA,14
Travelling Duty,42
Roadways,44
Mexico,36
Hong Kong,16
UNO25,52
Australia,39
Jail,67
India,24
Chance29,38
Saudi Arabia,40
Petroleum,46
China,22
Railways,11
Malaysia,40
Singapore,46

Start,86
England,36
Iraq,37
Waterways,1981043053
UNO4,52
France,33
Iran,56
Satellite,50463535
Egypt,33
Resort,70
Canada,34
Germany,38
Airways,50463531
Customs Duty,70
Switzerland,32
Brazil,38
Chance16,82
Italy,50
Party House,85
Japan,42
USA,24
Travelling Duty,72
Roadways,6750306
Mexico,28
Hong Kong,33
UNO25,82
Australia,54
Jail,98
India,33
Chance29,70
Saudi Arabia,33
Petroleum,45
China,29
Railways,37
Malaysia,46
Singapore,38

Start,128
England,31
Iraq,61
Waterways,36
UNO4,28
France,14
Iran,93
Satellite,31
Egypt,9
Resort,48
Canada,49
Germany,31
Airways,63
Customs Duty,28
Switzerland,61
Brazil,36
Chance16,40
Italy,14
Party House,193
Japan,40
USA,7
Travelling Duty,52
Roadways,52
Mexico,24
Hong Kong,56
UNO25,40
Australia,68
Jail,97
India,21
Chance29,32
Saudi Arabia,86
Petroleum,34
China,12
Railways,21
Malaysia,49
Singapore,24

Start,8
England,9
Iraq,5
Waterways,11
UNO4,6
France,7
Iran,5
Satellite,6
Egypt,7
Resort,10
Canada,9
Germany,6
Airways,2
Customs Duty,20
Switzerland,4
Brazil,9
Chance16,14
Italy,7
Party House,17
Japan,8
USA,7
Travelling Duty,14
Roadways,4
Mexico,8
Hong Kong,5
UNO25,16
Australia,7
Jail,19
India,6
Chance29,12
Saudi Arabia,5
Petroleum,2
China,7
Railways,6
Malaysia,8
Singapore,7

Start,10
England,1
Iraq,3
Waterways,2
UNO4,6
France,0
Iran,5
Satellite,1
Egypt,5
Resort,6
Canada,3
Germany,1
Airways,2
Customs Duty,2
Switzerland,4
Brazil,0
Chance16,14
Italy,3
Party House,14
Japan,0
USA,2
Travelling Duty,6
Roadways,1
Mexico,2
Hong Kong,5
UNO25,10
Australia,5
Jail,4
India,4
Chance29,4
Saudi Arabia,1
Petroleum,0
China,5
Railways,0
Malaysia,8
Singapore,1

Start,18
England,15
Iraq,41
Waterways,9
UNO4,30
France,13
Iran,29
Satellite,14
Egypt,14
Resort,20
Canada,29
Germany,34
Airways,11
Customs Duty,18
Switzerland,45
Brazil,8
Chance16,26
Italy,22
Party House,66
Japan,10
USA,8
Travelling Duty,32
Roadways,29
Mexico,24
Hong Kong,14
UNO25,22
Australia,42
Jail,33
India,9
Chance29,40
Saudi Arabia,28
Petroleum,9
China,12
Railways,8
Malaysia,34
Singapore,33

Start,10
England,5
Iraq,5
Waterways,1981043013
UNO4,4
France,3
Iran,5
Satellite,50463494
Egypt,2
Resort,14
Canada,7
Germany,4
Airways,50463493
Customs Duty,8
Switzerland,6
Brazil,2
Chance16,12
Italy,3
Party House,10
Japan,8
USA,3
Travelling Duty,4
Roadways,7340093
Mexico,5
Hong Kong,9
UNO25,4
Australia,2
Jail,12
India,1
Chance29,6
Saudi Arabia,10
Petroleum,5
China,0
Railways,3
Malaysia,2
Singapore,3

Start,24
England,15
Iraq,15
Waterways,1981043027
UNO4,18
France,9
Iran,10
Satellite,50463510
Egypt,11
Resort,28
Canada,13
Germany,19
Airways,50463499
Customs Duty,18
Switzerland,14
Brazil,21
Chance16,16
Italy,7
Party House,46
Japan,16
USA,15
Travelling Duty,18
Roadways,7798853
Mexico,18
Hong Kong,12
UNO25,26
Australia,13
Jail,32
India,14
Chance29,14
Saudi Arabia,11
Petroleum,18
China,12
Railways,13
Malaysia,18
Singapore,10

Start,322
England,129
Iraq,163
Waterways,1981043167
UNO4,288
France,116
Iran,156
Satellite,50463647
Egypt,134
Resort,240
Canada,129
Germany,159
Airways,50463620
Customs Duty,248
Switzerland,186
Brazil,151
Chance16,238
Italy,115
Party House,402
Japan,125
USA,123
Travelling Duty,270
Roadways,1310921
Mexico,126
Hong Kong,142
UNO25,280
Australia,176
Jail,433
India,112
Chance29,250
Saudi Arabia,152
Petroleum,140
China,148
Railways,103
Malaysia,167
Singapore,135

Start,18
England,8
Iraq,4
Waterways,1981043013
UNO4,8
France,5
Iran,7
Satellite,50463495
Egypt,4
Resort,14
Canada,8
Germany,4
Airways,50463496
Customs Duty,10
Switzerland,3
Brazil,7
Chance16,10
Italy,7
Party House,12
Japan,6
USA,4
Travelling Duty,10
Roadways,1114172
Mexico,3
Hong Kong,8
UNO25,6
Australia,5
Jail,16
India,5
Chance29,8
Saudi Arabia,5
Petroleum,9
China,2
Railways,4
Malaysia,7
Singapore,2

Start,18
England,8
Iraq,14
Waterways,9
UNO4,20
France,10
Iran,11
Satellite,7
Egypt,9
Resort,14
Canada,15
Germany,11
Airways,8
Customs Duty,10
Switzerland,9
Brazil,12
Chance16,24
Italy,9
Party House,25
Japan,9
USA,7
Travelling Duty,10
Roadways,8
Mexico,15
Hong Kong,12
UNO25,20
Australia,14
Jail,12
India,12
Chance29,12
Saudi Arabia,11
Petroleum,12
China,8
Railways,13
Malaysia,9
Singapore,8

Start,54
England,29
Iraq,49
Waterways,40
UNO4,66
France,34
Iran,49
Satellite,54
Egypt,32
Resort,58
Canada,49
Germany,47
Airways,24
Customs Duty,44
Switzerland,50
Brazil,39
Chance16,68
Italy,39
Party House,116
Japan,52
USA,28
Travelling Duty,54
Roadways,45
Mexico,49
Hong Kong,22
UNO25,58
Australia,52
Jail,107
India,34
Chance29,58
Saudi Arabia,49
Petroleum,46
China,41
Railways,27
Malaysia,51
Singapore,43

Start,36
England,14
Iraq,23
Waterways,21
UNO4,36
France,16
Iran,19
Satellite,21
Egypt,13
Resort,42
Canada,18
Germany,18
Airways,20
Customs Duty,36
Switzerland,19
Brazil,16
Chance16,34
Italy,15
Party House,43
Japan,17
USA,12
Travelling Duty,26
Roadways,19
Mexico,17
Hong Kong,23
UNO25,30
Australia,26
Jail,34
India,16
Chance29,44
Saudi Arabia,12
Petroleum,13
China,19
Railways,18
Malaysia,15
Singapore,22

Start,10
England,10
Iraq,5
Waterways,12
UNO4,16
France,3
Iran,8
Satellite,7
Egypt,6
Resort,14
Canada,6
Germany,8
Airways,5
Customs Duty,14
Switzerland,5
Brazil,8
Chance16,16
Italy,7
Party House,14
Japan,4
USA,8
Travelling Duty,14
Roadways,9
Mexico,7
Hong Kong,4
UNO25,16
Australia,9
Jail,18
India,5
Chance29,14
Saudi Arabia,7
Petroleum,7
China,9
Railways,5
Malaysia,5
Singapore,9

Start,20
England,11
Iraq,10
Waterways,14
UNO4,22
France,13
Iran,6
Satellite,12
Egypt,9
Resort,18
Canada,10
Germany,10
Airways,12
Customs Duty,24
Switzerland,10
Brazil,17
Chance16,22
Italy,7
Party House,23
Japan,15
USA,11
Travelling Duty,18
Roadways,5
Mexico,10
Hong Kong,9
UNO25,22
Australia,11
Jail,40
India,9
Chance29,20
Saudi Arabia,7
Petroleum,11
China,5
Railways,9
Malaysia,13
Singapore,12

Start,52
England,18
Iraq,17
Waterways,17
UNO4,42
France,16
Iran,22
Satellite,16
Egypt,24
Resort,16
Canada,27
Germany,23
Airways,18
Customs Duty,48
Switzerland,18
Brazil,18
Chance16,20
Italy,15
Party House,54
Japan,17
USA,25
Travelling Duty,34
Roadways,24
Mexico,11
Hong Kong,22
UNO25,52
Australia,16
Jail,36
India,19
Chance29,32
Saudi Arabia,23
Petroleum,13
China,26
Railways,19
Malaysia,19
Singapore,18

Start,34
England,16
Iraq,7
Waterways,15
UNO4,30
France,11
Iran,13
Satellite,13
Egypt,8
Resort,44
Canada,15
Germany,13
Airways,9
Customs Duty,34
Switzerland,4
Brazil,11
Chance16,24
Italy,13
Party House,45
Japan,12
USA,11
Travelling Duty,18
Roadways,8
Mexico,14
Hong Kong,8
UNO25,20
Australia,19
Jail,46
India,8
Chance29,26
Saudi Arabia,18
Petroleum,5
China,13
Railways,14
Malaysia,13
Singapore,10

Start,18
England,6
Iraq,14
Waterways,10
UNO4,18
France,8
Iran,12
Satellite,17
Egypt,6
Resort,26
Canada,7
Germany,16
Airways,6
Customs Duty,28
Switzerland,7
Brazil,15
Chance16,18
Italy,12
Party House,30
Japan,10
USA,8
Travelling Duty,22
Roadways,7
Mexico,15
Hong Kong,8
UNO25,20
Australia,12
Jail,30
India,10
Chance29,20
Saudi Arabia,6
Petroleum,13
China,16
Railways,8
Malaysia,7
Singapore,16

Start,20
England,7
Iraq,8
Waterways,3
UNO4,6
France,13
Iran,10
Satellite,17
Egypt,8
Resort,16
Canada,4
Germany,6
Airways,11
Customs Duty,16
Switzerland,8
Brazil,8
Chance16,18
Italy,7
Party House,20
Japan,10
USA,8
Travelling Duty,18
Roadways,5
Mexico,12
Hong Kong,6
UNO25,18
Australia,10
Jail,22
India,12
Chance29,14
Saudi Arabia,6
Petroleum,10
China,7
Railways,10
Malaysia,9
Singapore,6

Start,24
England,10
Iraq,11
Waterways,20
UNO4,40
France,17
Iran,12
Satellite,10
Egypt,11
Resort,16
Canada,7
Germany,18
Airways,18
Customs Duty,30
Switzerland,21
Brazil,9
Chance16,16
Italy,16
Party House,38
Japan,9
USA,15
Travelling Duty,32
Roadways,17
Mexico,7
Hong Kong,16
UNO25,20
Australia,22
Jail,36
India,6
Chance29,36
Saudi Arabia,13
Petroleum,20
China,10
Railways,13
Malaysia,13
Singapore,14

Start,18
England,3
Iraq,7
Waterways,8
UNO4,20
France,6
Iran,5
Satellite,10
Egypt,6
Resort,10
Canada,8
Germany,6
Airways,6
Customs Duty,14
Switzerland,8
Brazil,5
Chance16,24
Italy,3
Party House,23
Japan,3
USA,5
Travelling Duty,20
Roadways,6
Mexico,10
Hong Kong,5
UNO25,14
Australia,10
Jail,7
India,6
Chance29,20
Saudi Arabia,6
Petroleum,6
China,11
Railways,8
Malaysia,7
Singapore,3

Start,28
England,7
Iraq,7
Waterways,9
UNO4,20
France,4
Iran,14
Satellite,6
Egypt,7
Resort,16
Canada,6
Germany,7
Airways,7
Customs Duty,16
Switzerland,12
Brazil,9
Chance16,16
Italy,0
Party House,20
Japan,9
USA,9
Travelling Duty,18
Roadways,5
Mexico,6
Hong Kong,11
UNO25,20
Australia,5
Jail,25
India,13
Chance29,10
Saudi Arabia,7
Petroleum,8
China,11
Railways,8
Malaysia,3
Singapore,6
